6516136	 lcollado	node=045	vmem=206.4M, maxvmem=531.4M	elapsed=01:07	logMemory
6516137	 lcollado	node=069	vmem=N/A, maxvmem=N/A	elapsed=07	snow-3.1.x
6516138	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=07	multicore-3.1.x
6516139	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=07	serial-3.1.x
6516140	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=07	snow-3.2
6516141	 lcollado	node=055	vmem=N/A, maxvmem=N/A	elapsed=07	multicore-3.2
6516142	 lcollado	node=055	vmem=137.2M, maxvmem=137.2M	elapsed=07	serial-3.2
6516143	 lcollado	node=074	vmem=N/A, maxvmem=N/A	elapsed=07	snow-3.2.x
6516144	 lcollado	node=074	vmem=N/A, maxvmem=N/A	elapsed=07	multicore-3.2.x
6516145	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=07	serial-3.2.x
6516146	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=07	der-snow-3.1.x
6516147	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=07	der-multicore-3.1.x
6516148	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=07	der-serial-3.1.x
6516149	 lcollado	node=051	vmem=N/A, maxvmem=N/A	elapsed=07	der-snow-3.2
6516150	 lcollado	node=052	vmem=436.3M, maxvmem=436.3M	elapsed=07	der-multicore-3.2
6516151	 lcollado	node=043	vmem=442.5M, maxvmem=442.5M	elapsed=07	der-serial-3.2
6516152	 lcollado	node=050	vmem=N/A, maxvmem=N/A	elapsed=07	der-snow-3.2.x
6516153	 lcollado	node=075	vmem=N/A, maxvmem=N/A	elapsed=07	der-multicore-3.2.x
6516154	 lcollado	node=061	vmem=N/A, maxvmem=N/A	elapsed=07	der-serial-3.2.x
6516136	 lcollado	node=045	vmem=206.4M, maxvmem=531.4M	elapsed=01:10	logMemory
6516137	 lcollado	node=069	vmem=N/A, maxvmem=N/A	elapsed=10	snow-3.1.x
6516138	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=10	multicore-3.1.x
6516139	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=10	serial-3.1.x
6516140	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=10	snow-3.2
6516141	 lcollado	node=055	vmem=N/A, maxvmem=N/A	elapsed=10	multicore-3.2
6516142	 lcollado	node=055	vmem=137.2M, maxvmem=137.2M	elapsed=10	serial-3.2
6516143	 lcollado	node=074	vmem=N/A, maxvmem=N/A	elapsed=10	snow-3.2.x
6516144	 lcollado	node=074	vmem=N/A, maxvmem=N/A	elapsed=10	multicore-3.2.x
6516145	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=10	serial-3.2.x
6516146	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=10	der-snow-3.1.x
6516147	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=10	der-multicore-3.1.x
6516148	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=10	der-serial-3.1.x
6516149	 lcollado	node=051	vmem=N/A, maxvmem=N/A	elapsed=10	der-snow-3.2
6516150	 lcollado	node=052	vmem=436.3M, maxvmem=436.3M	elapsed=10	der-multicore-3.2
6516151	 lcollado	node=043	vmem=442.5M, maxvmem=442.5M	elapsed=10	der-serial-3.2
6516152	 lcollado	node=050	vmem=N/A, maxvmem=N/A	elapsed=10	der-snow-3.2.x
6516153	 lcollado	node=075	vmem=N/A, maxvmem=N/A	elapsed=10	der-multicore-3.2.x
6516154	 lcollado	node=061	vmem=N/A, maxvmem=N/A	elapsed=10	der-serial-3.2.x
6516136	 lcollado	node=045	vmem=206.4M, maxvmem=531.4M	elapsed=01:13	logMemory
6516137	 lcollado	node=069	vmem=N/A, maxvmem=N/A	elapsed=13	snow-3.1.x
6516138	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=13	multicore-3.1.x
6516139	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=13	serial-3.1.x
6516140	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=13	snow-3.2
6516141	 lcollado	node=055	vmem=N/A, maxvmem=N/A	elapsed=13	multicore-3.2
6516142	 lcollado	node=055	vmem=137.2M, maxvmem=137.2M	elapsed=13	serial-3.2
6516143	 lcollado	node=074	vmem=N/A, maxvmem=N/A	elapsed=13	snow-3.2.x
6516144	 lcollado	node=074	vmem=N/A, maxvmem=N/A	elapsed=13	multicore-3.2.x
6516145	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=13	serial-3.2.x
6516146	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=13	der-snow-3.1.x
6516147	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=13	der-multicore-3.1.x
6516148	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=13	der-serial-3.1.x
6516149	 lcollado	node=051	vmem=N/A, maxvmem=N/A	elapsed=13	der-snow-3.2
6516150	 lcollado	node=052	vmem=436.3M, maxvmem=436.3M	elapsed=13	der-multicore-3.2
6516151	 lcollado	node=043	vmem=442.5M, maxvmem=442.5M	elapsed=13	der-serial-3.2
6516152	 lcollado	node=050	vmem=N/A, maxvmem=N/A	elapsed=13	der-snow-3.2.x
6516153	 lcollado	node=075	vmem=N/A, maxvmem=N/A	elapsed=13	der-multicore-3.2.x
6516154	 lcollado	node=061	vmem=N/A, maxvmem=N/A	elapsed=13	der-serial-3.2.x
6516136	 lcollado	node=045	vmem=206.4M, maxvmem=531.4M	elapsed=01:15	logMemory
6516137	 lcollado	node=069	vmem=N/A, maxvmem=N/A	elapsed=15	snow-3.1.x
6516138	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=15	multicore-3.1.x
6516139	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=15	serial-3.1.x
6516140	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=15	snow-3.2
6516141	 lcollado	node=055	vmem=N/A, maxvmem=N/A	elapsed=15	multicore-3.2
6516142	 lcollado	node=055	vmem=137.2M, maxvmem=137.2M	elapsed=15	serial-3.2
6516143	 lcollado	node=074	vmem=3.4G, maxvmem=3.4G	elapsed=15	snow-3.2.x
6516144	 lcollado	node=074	vmem=3.4G, maxvmem=3.4G	elapsed=15	multicore-3.2.x
6516145	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=15	serial-3.2.x
6516146	 lcollado	node=065	vmem=N/A, maxvmem=N/A	elapsed=15	der-snow-3.1.x
6516147	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=15	der-multicore-3.1.x
6516148	 lcollado	node=054	vmem=N/A, maxvmem=N/A	elapsed=15	der-serial-3.1.x
6516149	 lcollado	node=051	vmem=N/A, maxvmem=N/A	elapsed=15	der-snow-3.2
6516150	 lcollado	node=052	vmem=436.3M, maxvmem=436.3M	elapsed=15	der-multicore-3.2
6516151	 lcollado	node=043	vmem=442.5M, maxvmem=442.5M	elapsed=15	der-serial-3.2
6516152	 lcollado	node=050	vmem=N/A, maxvmem=N/A	elapsed=15	der-snow-3.2.x
6516153	 lcollado	node=075	vmem=N/A, maxvmem=N/A	elapsed=15	der-multicore-3.2.x
6516154	 lcollado	node=061	vmem=N/A, maxvmem=N/A	elapsed=15	der-serial-3.2.x
6516136	 lcollado	node=045	vmem=206.4M, maxvmem=531.4M	elapsed=01:18	logMemory
6516137	 lcollado	node=069	vmem=N/A, maxvmem=N/A	elapsed=18	snow-3.1.x
6516138	 lcollado	node=060	vmem=N/A, maxvmem=N/A	elapsed=18	multicore-3.1.x
